 DEBUG root [2018-05-21 15:50:39,821] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallChessBase.cs
 DEBUG root [2018-05-21 15:50:39,822] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//NormalFB
 DEBUG root [2018-05-21 15:50:39,823] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/NormalFBBase.cs
 DEBUG root [2018-05-21 15:50:39,825] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallNormalFBBase.cs
 DEBUG root [2018-05-21 15:50:39,826] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 15:50:39,826] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 15:50:39,826] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 15:50:39,827] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-21 15:50:39,827] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-05-21 15:50:39,827] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 15:50:39,827] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 15:50:39,827] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 15:50:39,837] - Script::uninstall(): is successfully!
 DEBUG root [2018-05-21 15:50:39,837] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-05-21 15:50:40,139] - ThreadPool::destroy(): waiting for thread(2)[0x3835838,0x3835288,], try=1
 DEBUG root [2018-05-21 15:50:40,539] - TPThread::~TPThread(): 0x3835838
 DEBUG root [2018-05-21 15:50:40,539] - TPThread::~TPThread(): 0x3835288
 DEBUG root [2018-05-21 15:50:40,539] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-05-21 15:50:40,551] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2018-05-21 15:50:40,551] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:50:40,552] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:50:40,552] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:50:40,552] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:50:40,552] - Address::destroyObjPool(): size 0.
